gene_id state1_rep1 state1_rep2 state2_rep1 state2_rep2
EBG00001089699 98 130 284 146
EBG00001089700 2 168 194 136
EBG00001089701 0 11 24 0
EBG00001089702 14 51 343 167
EBG00001089703 0 0 0 0
EBG00001089704 11 0 33 67
EBG00001089705 0 0 0 0
EBG00001089706 85 358 325 367
EBG00001089707 0 0 0 0
EBG00001089709 0 0 0 0
EBG00001089711 31 24 104 22
EBG00001089713 28 135 176 78
EBG00001089715 0 0 0 0
EBG00001089716 0 2 14 0
EBG00001089717 85 67 86 25
EBG00001089719 0 0 0 0
EBG00001089720 14 16 84 0
EBG00001089721 12 28 114 41
EBG00001089722 0 0 0 0
EBG00001089723 0 55 9 0
EBG00001089724 0 0 0 0
EBG00001089725 0 0 0 0
EBG00001089726 161 513 824 516
EBG00001089727 74 141 139 123
EBG00001089728 1 22 71 17
EBG00001089729 10 0 0 0
EBG00001089730 64 21 60 71
EBG00001089731 95 459 590 61
EBG00001089732 0 0 0 0
EBG00001089733 21 8 67 26
ECDH10B_0001 395 640 1614 902
ECDH10B_0002 626 2238 3388 1422
ECDH10B_0003 192 953 1156 434
ECDH10B_0004 268 1262 1396 778
ECDH10B_0005 63 114 275 72
ECDH10B_0006 129 214 417 264
ECDH10B_0007 178 386 360 53
ECDH10B_0008 4943 5171 13690 4932
ECDH10B_0009 426 601 1130 423
ECDH10B_0010 198 561 577 291
ECDH10B_0011 0 61 67 49
ECDH10B_0012 7 42 33 33
ECDH10B_0013 0 20 0 0
ECDH10B_0014 10826 5283 3505 2532
ECDH10B_0015 1140 1981 1058 575
ECDH10B_0016 8 17 1 0
ECDH10B_0017 21 14 25 40
ECDH10B_0018 0 0 0 0
ECDH10B_0019 0 0 0 0
ECDH10B_0020 200 343 908 531
ECDH10B_0021 98 306 644 352
ECDH10B_0022 1 6 43 25
ECDH10B_0023 24 43 33 18
ECDH10B_0024 544 1558 3173 1895
ECDH10B_0025 15 29 61 26
ECDH10B_0026 652 1363 2574 1512
ECDH10B_0027 2160 5332 10149 4629
ECDH10B_0028 263 512 1411 787
ECDH10B_0029 321 672 1493 699
ECDH10B_0030 578 1249 2607 1438
ECDH10B_0031 294 130 115 53
ECDH10B_0032 410 507 725 658
ECDH10B_0033 79 182 350 223
ECDH10B_0034 165 253 746 530
ECDH10B_0035 18 65 11 0
ECDH10B_0036 11 8 9 17
ECDH10B_0037 0 0 0 13
ECDH10B_0038 24 90 110 44
ECDH10B_0039 26 185 67 14
ECDH10B_0040 58 157 108 116
ECDH10B_0041 0 48 20 29
ECDH10B_0042 15 22 26 0
ECDH10B_0043 0 31 0 2
ECDH10B_0044 0 0 10 0
ECDH10B_0045 0 0 0 0
ECDH10B_0046 0 5 1 8
ECDH10B_0047 16 11 38 20
ECDH10B_0048 83 188 210 95
ECDH10B_0049 160 293 1268 481
ECDH10B_0050 242 686 1863 659
ECDH10B_0051 70 649 1303 668
ECDH10B_0052 422 1074 3161 987
ECDH10B_0053 248 777 1626 709
ECDH10B_0054 899 1740 4810 2303
ECDH10B_0055 1693 4160 8899 3296
ECDH10B_0056 140 350 634 514
ECDH10B_0058 116 213 475 285
ECDH10B_0060 33 93 156 55
ECDH10B_0061 34 39 87 29
ECDH10B_0062 15 14 15 8
ECDH10B_0063 560 730 1374 890
ECDH10B_0064 500 783 1699 1218
ECDH10B_0065 126 80 555 452
ECDH10B_0066 340 654 1387 639
ECDH10B_0067 330 648 1817 920
ECDH10B_0068 148 702 1835 791
ECDH10B_0069 246 1097 1683 588
ECDH10B_0070 188 1024 1855 902
ECDH10B_0071 264 883 1886 1065
ECDH10B_0072 206 587 1231 591
ECDH10B_0073 312 911 2147 1293
ECDH10B_0074 310 1436 1937 1384
ECDH10B_0075 304 949 1832 1192
ECDH10B_0076 536 1545 3184 1557
ECDH10B_0077 1507 3059 6711 3163
ECDH10B_0078 3744 6250 13710 5350
ECDH10B_0079 880 1426 3641 1533
ECDH10B_0080 2088 4938 9382 5036
ECDH10B_0081 128 355 557 268
ECDH10B_0082 110 261 463 171
ECDH10B_0083 148 678 692 320
ECDH10B_0084 119 277 305 152
ECDH10B_0085 368 649 873 464
ECDH10B_0086 45 176 168 60
ECDH10B_0087 42 270 168 167
ECDH10B_0088 0 75 48 24
ECDH10B_0089 401 915 1519 733
ECDH10B_0090 98 413 348 173
ECDH10B_0091 242 273 466 104
ECDH10B_0092 379 624 1070 345
ECDH10B_0093 717 3142 3749 3859
ECDH10B_0094 4625 16822 37897 26366
ECDH10B_0095 3366 13983 29963 25611
ECDH10B_0096 3331 10060 16807 12068
ECDH10B_0097 44 284 174 91
ECDH10B_0098 2860 5013 20765 8318
ECDH10B_0099 560 543 1859 1131
