"genes"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ECDH10B_1541"	2122.77046815462	2.62012064434557	0.429095930053866	4.74289780229083	2.10682569405325e-06	0.000112143321943463
"ECDH10B_1582"	769.339923017793	2.6488174551516	0.42938508230832	4.80653622928728	1.53567664846317e-06	8.6695927154148e-05
"ECDH10B_1618"	32.9866420248561	8.00548412221569	2.03709135928166	3.64270438224785	0.000269788612857434	0.0093946950608112
"ECDH10B_1756"	626.62338543662	2.11717702478253	0.516130839820377	2.96865524368707	0.0029910597101481	0.0696543030000739
"ECDH10B_1813"	128.793552991559	3.74983363219027	0.763638969467792	4.14445995818525	3.40615464700897e-05	0.00136465937793069
"ECDH10B_1814"	299.798105418602	3.48245443705145	0.712169646636457	4.06854174425295	4.73082863188693e-05	0.00185548078762218
"ECDH10B_1816"	118.40336917871	5.42857973699585	0.95431192870893	5.07550737925652	3.86463357092684e-07	2.44061435343617e-05
"ECDH10B_1817"	296.742418937714	3.72552783650098	0.942774321989189	3.3311952420951	0.000864739285113482	0.0251720201276003
"ECDH10B_1820"	226.241398496781	3.72949602712062	0.772072146614339	4.07284933174802	4.64414690748078e-05	0.00184086078481632
"ECDH10B_1867"	704.230842299272	2.5006003110123	0.604681698108573	3.16801023792055	0.00153486115351221	0.0408492332713321
"ECDH10B_1885"	43.030465036851	7.0042510486804	1.77376121480549	3.6190263347613	0.000295713547490982	0.0101085199812055
"ECDH10B_1899"	1747.50962950489	2.09158661327805	0.396039047560756	3.8042312288052	0.000142245262513257	0.00514568784586791
"ECDH10B_2038"	236.209326640166	4.30126944749972	0.628533351815861	5.91266467569619	3.36617025415446e-09	4.0459194732192e-07
"ECDH10B_2091"	19.0977776029433	7.21544275950373	2.30568220791514	2.8757129824834	0.00403116082964427	0.0904825617545454
"ECDH10B_2093"	640.176729489304	3.78749738780444	0.560438077673847	5.71434207392852	1.1012926900843e-08	1.17240473235832e-06
"ECDH10B_2176"	1519.31742885986	3.40767815388829	0.435605736322809	6.47997814949649	9.17359024722423e-11	1.62765701243607e-08
"ECDH10B_2193"	297.624765364869	2.94740661812299	0.704425156464795	3.35371912221012	0.000797332545264027	0.0235782624099505
"ECDH10B_2194"	181.097837616406	5.02669598264243	0.758450240892035	5.85632813129208	4.73212816110453e-09	5.3430028873562e-07
"ECDH10B_2195"	226.054878754202	10.7804295787841	1.57671338395166	6.46627800704681	1.00446209193254e-10	1.70119352479121e-08
"ECDH10B_2196"	197.370795600104	4.1778242012462	1.10528074650763	3.25063266674775	0.00115148530019807	0.0317809942854666
"ECDH10B_2197"	169.004263578079	5.73405204249001	0.949941336966379	5.42042896902705	5.94561930657043e-08	4.71348458218754e-06
"ECDH10B_2198"	292.440026534915	5.93084505515913	0.873310109948742	6.12140234441091	9.27553596866426e-10	1.23430882211582e-07
"ECDH10B_2200"	410.652710580968	7.11680356767026	0.821435665214974	7.95173784576261	1.83913115766886e-15	6.85260269347417e-13
"ECDH10B_2201"	331.860689050122	6.68102494540446	0.819777423918187	7.43624094397077	1.03590817792255e-13	2.96907220841493e-11
"ECDH10B_2203"	982.747847587052	5.93525463613721	0.734969386399826	7.27961223204673	3.34781055506905e-13	7.79621383011705e-11
"ECDH10B_2204"	250.558472745142	6.94648176836553	0.997644555726006	6.37653884956548	1.81134817955669e-10	2.81211804876176e-08
"ECDH10B_2205"	182.799859068272	5.00705374038847	1.14545511019972	3.86055394077928	0.000113130262257488	0.00417349858585545
"ECDH10B_2206"	513.634577761876	11.9646578404963	1.55483577129572	7.31890502512164	2.50002449274991e-13	6.65363661427584e-11
"ECDH10B_2209"	229.313386425473	5.64658426437206	1.07307260486976	4.71694248896162	2.39415330792616e-06	0.000123897433685179
"ECDH10B_2211"	83.4946544058271	9.34332036549217	1.70592825011055	5.13407164938116	2.83540071900196e-07	1.95642649611135e-05
"ECDH10B_2212"	254.730746989834	5.61784195743508	0.761538954921155	6.608827328124	3.87376224068781e-11	7.21681905440138e-09
"ECDH10B_2312"	1367.13552989202	3.95140962966385	0.431852869886321	7.79535662187183	6.4226827516021e-15	2.17553781204268e-12
"ECDH10B_2697"	2517.7795689163	2.07765277695907	0.394503093633086	3.78372261289847	0.000154500008561643	0.00548254316095887
"ECDH10B_2698"	1030.96830101009	2.33242271040008	0.433496832906408	4.03107953053073	5.55212510724299e-05	0.00208961799490782
"ECDH10B_2829"	209.464816479841	2.39129811992364	0.600949537797431	3.00580249353877	0.00264880986516994	0.063265804856559
"ECDH10B_2840"	97.126089957924	9.5612650274007	1.67585845434693	5.35624145547396	8.4970941827394e-08	6.20787704409549e-06
"ECDH10B_2841"	94.0547561255098	9.51569792624371	1.68976547624383	5.2851922654821	1.25572800407952e-07	8.99777412153901e-06
"ECDH10B_2842"	600.846007768087	7.28938947988019	0.725117490472015	9.24598712243831	2.33079232370219e-20	1.44742203301906e-17
"ECDH10B_3248"	311.227625059974	3.03445826340577	0.802665498190186	3.05170182125385	0.00227548019504714	0.0569022765553399
"ECDH10B_3398"	275.831388334168	3.18797183045534	0.803362510614436	3.24014289357779	0.00119469813303125	0.0327312150270179
