EBG00001089504	10
EBG00001089505	0
EBG00001089506	0
EBG00001089507	0
EBG00001089508	20
EBG00001089509	72
EBG00001089510	18
EBG00001089511	17
EBG00001089512	52
EBG00001089513	199
EBG00001089514	16
EBG00001089515	0
EBG00001089516	0
EBG00001089517	12
EBG00001089518	0
EBG00001089519	7
EBG00001089520	0
EBG00001089521	38
EBG00001089522	0
EBG00001089523	23
EBG00001089524	405
EBG00001089525	0
EBG00001089526	16
EBG00001089527	0
EBG00001089528	23
EBG00001089529	0
EBG00001089530	85
EBG00001089531	12
EBG00001089532	48
EBG00001089533	12
EBG00001089534	0
EBG00001089535	231
EBG00001089536	10
EBG00001089537	4
EBG00001089538	0
EBG00001089539	5
EBG00001089540	13
EBG00001089541	0
EBG00001089542	0
EBG00001089543	0
EBG00001089544	38
EBG00001089545	19
EBG00001089546	66
EBG00001089547	0
EBG00001089548	283
EBG00001089549	35
EBG00001089550	49
EBG00001089551	0
EBG00001089552	217
EBG00001089553	158
EBG00001089554	0
EBG00001089555	0
EBG00001089556	0
EBG00001089557	63
EBG00001089558	22
EBG00001089559	2278
EBG00001089560	489
EBG00001089561	0
EBG00001089562	21
EBG00001089563	0
EBG00001089564	12
EBG00001089565	0
EBG00001089566	243
EBG00001089567	0
EBG00001089568	3589
EBG00001089569	100
EBG00001089570	119
EBG00001089571	0
EBG00001089572	16
EBG00001089573	0
EBG00001089574	43407
EBG00001089575	38
EBG00001089576	0
EBG00001089577	0
EBG00001089578	14
EBG00001089579	25
EBG00001089580	20
EBG00001089581	210
EBG00001089582	51
EBG00001089583	447
EBG00001089584	9947
EBG00001089585	96
EBG00001089586	0
EBG00001089587	0
EBG00001089588	0
EBG00001089589	0
EBG00001089590	58
EBG00001089591	786
EBG00001089592	2
EBG00001089593	30
EBG00001089594	8
EBG00001089595	100
EBG00001089596	54
EBG00001089597	0
EBG00001089598	34
EBG00001089599	6
EBG00001089600	147
EBG00001089601	20
EBG00001089602	44
EBG00001089603	0
EBG00001089604	0
EBG00001089605	23
EBG00001089606	4
EBG00001089607	0
EBG00001089608	13
EBG00001089609	495
EBG00001089610	37
EBG00001089611	379
EBG00001089612	0
EBG00001089613	1132
EBG00001089614	0
EBG00001089615	0
EBG00001089616	63
EBG00001089617	170
EBG00001089618	5
EBG00001089619	0
EBG00001089620	153
EBG00001089621	7
EBG00001089622	31
EBG00001089623	17
EBG00001089624	7
EBG00001089625	0
EBG00001089626	984
EBG00001089627	95
EBG00001089628	50
EBG00001089629	509
EBG00001089630	0
EBG00001089631	0
EBG00001089632	12
EBG00001089633	0
EBG00001089634	22
EBG00001089635	44
EBG00001089636	344
EBG00001089637	1903
EBG00001089638	0
EBG00001089639	42
EBG00001089640	303
EBG00001089641	0
EBG00001089642	8
EBG00001089643	0
EBG00001089644	0
EBG00001089645	141
EBG00001089646	302
EBG00001089647	15
EBG00001089648	0
EBG00001089649	12
EBG00001089650	75
EBG00001089651	0
EBG00001089652	0
EBG00001089653	372
EBG00001089654	521
EBG00001089655	17
EBG00001089656	85
EBG00001089657	0
EBG00001089658	55
EBG00001089659	38
EBG00001089660	494
EBG00001089661	263
