EBG00001089504	36
EBG00001089505	0
EBG00001089506	0
EBG00001089507	0
EBG00001089508	4
EBG00001089509	4
EBG00001089510	13
EBG00001089511	0
EBG00001089512	18
EBG00001089513	109
EBG00001089514	0
EBG00001089515	0
EBG00001089516	0
EBG00001089517	31
EBG00001089518	0
EBG00001089519	2
EBG00001089520	16
EBG00001089521	42
EBG00001089522	0
EBG00001089523	10
EBG00001089524	70
EBG00001089525	0
EBG00001089526	17
EBG00001089527	0
EBG00001089528	0
EBG00001089529	0
EBG00001089530	2
EBG00001089531	12
EBG00001089532	47
EBG00001089533	0
EBG00001089534	0
EBG00001089535	48
EBG00001089536	0
EBG00001089537	2
EBG00001089538	0
EBG00001089539	0
EBG00001089540	0
EBG00001089541	0
EBG00001089542	0
EBG00001089543	0
EBG00001089544	12
EBG00001089545	8
EBG00001089546	0
EBG00001089547	0
EBG00001089548	78
EBG00001089549	78
EBG00001089550	36
EBG00001089551	0
EBG00001089552	72
EBG00001089553	40
EBG00001089554	0
EBG00001089555	3
EBG00001089556	0
EBG00001089557	0
EBG00001089558	24
EBG00001089559	2085
EBG00001089560	282
EBG00001089561	7
EBG00001089562	0
EBG00001089563	0
EBG00001089564	22
EBG00001089565	0
EBG00001089566	70
EBG00001089567	0
EBG00001089568	4372
EBG00001089569	57
EBG00001089570	78
EBG00001089571	0
EBG00001089572	21
EBG00001089573	0
EBG00001089574	84383
EBG00001089575	0
EBG00001089576	0
EBG00001089577	0
EBG00001089578	0
EBG00001089579	27
EBG00001089580	42
EBG00001089581	52
EBG00001089582	17
EBG00001089583	922
EBG00001089584	7431
EBG00001089585	66
EBG00001089586	0
EBG00001089587	0
EBG00001089588	0
EBG00001089589	0
EBG00001089590	43
EBG00001089591	140
EBG00001089592	12
EBG00001089593	32
EBG00001089594	6
EBG00001089595	17
EBG00001089596	62
EBG00001089597	0
EBG00001089598	0
EBG00001089599	0
EBG00001089600	280
EBG00001089601	0
EBG00001089602	7
EBG00001089603	0
EBG00001089604	0
EBG00001089605	0
EBG00001089606	0
EBG00001089607	0
EBG00001089608	17
EBG00001089609	56
EBG00001089610	8
EBG00001089611	293
EBG00001089612	0
EBG00001089613	1091
EBG00001089614	0
EBG00001089615	0
EBG00001089616	35
EBG00001089617	0
EBG00001089618	0
EBG00001089619	0
EBG00001089620	23
EBG00001089621	10
EBG00001089622	49
EBG00001089623	8
EBG00001089624	0
EBG00001089625	0
EBG00001089626	932
EBG00001089627	6
EBG00001089628	40
EBG00001089629	174
EBG00001089630	0
EBG00001089631	0
EBG00001089632	14
EBG00001089633	13
EBG00001089634	0
EBG00001089635	0
