"genes"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"EBG00001089504"	29.7540256254784	-1.03732761412854	1.55598354828667	-0.29072615446705	0.771260766811572	1
"EBG00001089505"	0	NA	NA	NA	NA	NA
"EBG00001089506"	0	NA	NA	NA	NA	NA
"EBG00001089507"	0	NA	NA	NA	NA	NA
"EBG00001089508"	21.4559165115351	1.0461698605896	1.5225346427734	0.302920765749095	0.761950245636841	1
"EBG00001089509"	36.1993015813145	-0.425404041705281	1.35979616377975	0	1	1
"EBG00001089510"	22.288500778751	0.195769219409532	1.92535779161025	0	1	1
"EBG00001089511"	8.20529426175056	-0.124602772390544	2.68324378676187	0	1	NA
"EBG00001089512"	66.706250111435	0.920798629250756	1.04511828427612	0.321337913212579	0.747954328037151	1
"EBG00001089513"	212.685789876042	0.15002939978435	0.606970877116314	0	1	1
"EBG00001089514"	14.1612947314046	1.43605396548651	2.18116762941858	0.390199933873138	0.696388710517027	1
"EBG00001089515"	0	NA	NA	NA	NA	NA
"EBG00001089516"	6.65752540446019	5.69486534119876	3.29801004499005	1.54938971403073	0.121288064916196	NA
"EBG00001089517"	29.4593490237326	-0.612893982741704	1.45867939011443	-0.0191484723852557	0.984722663134777	1
"EBG00001089518"	0	NA	NA	NA	NA	NA
"EBG00001089519"	2.23170708993422	-1.82734380721739	3.87727776529641	-0.320426180867456	0.748645281475158	NA
"EBG00001089520"	23.6871250264915	1.03656576798614	2.05652725786112	0.219595079782542	0.826186523651075	1
"EBG00001089521"	37.1295623576257	-1.63304426378732	1.23358511384264	-0.849622576752221	0.395534955819821	1
"EBG00001089522"	0.121474267796587	0.310166175258785	4.97214190392473	0	1	NA
"EBG00001089523"	43.0526218073543	1.69139926995614	1.09897811403833	1.00678690057734	0.314037190937807	1
"EBG00001089524"	195.98933262773	-1.05461477486191	0.724505404096464	-0.648238469285755	0.516830724151373	1
"EBG00001089525"	0	NA	NA	NA	NA	NA
"EBG00001089526"	44.7988284282605	1.4132387754191	1.1223665245696	0.737973074362294	0.460530811357856	1
